id,course_information,postgraduate_or_undergraduate,field_of_education,age,gender,citizenship,term_residence,permanent_residence,basis_for_admission,type_of_attendance,mode_of_attendance,country_of_birth,language_spoken_at_home,year_of_arrival_in_usa,entrance_score,equity_data,highest_level_of_education_prior_to_commencement,course_completion_year,course_gpa_earned
341,MSIT,Undergraduate,Computer Science,10/10/1997,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2007,314,,Professional Certification,2014,3.53
342,MSIT,Postgraduate,Computer Science,14/06/1985,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2012,317,,Post-graduate,2011,3.98
343,MISM,Postgraduate,Computer Science,18/11/1997,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2006,327,,Professional Certification,2013,3.6
344,MISM,Undergraduate,Computer Science,21/03/1993,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2011,319,,Post-graduate,2012,3.5
345,Global PPM,Undergraduate,Computer Science,22/01/1982,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2008,320,,Professional Certification,2011,3.59
346,MISM,Postgraduate,Computer Science,2/3/1980,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2006,315,,Professional Certification,2010,3.81
347,MSIT,Postgraduate,Computer Science,2/1/1985,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2007,329,low-income,Diploma,2011,3.32
348,Global PPM,Undergraduate,Computer Science,25/05/1992,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2005,326,,Diploma,2010,3.71
349,Global PPM,Undergraduate,Computer Science,11/1/1983,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2005,331,,Diploma,2011,3.87
350,PPM,Undergraduate,Computer Science,21/02/1996,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2008,329,,Post-graduate,2014,3.86
351,Global PPM,Undergraduate,Computer Science,26/03/1989,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2011,316,,Baccalaureate,2011,3.6
352,Global MISM,Undergraduate,Computer Science,10/2/1989,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2004,339,,Diploma,2012,3.57
353,Global MISM,Undergraduate,Computer Science,17/11/1990,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2004,334,,Baccalaureate,2012,3.99
354,Global MISM,Undergraduate,Computer Science,30/11/1989,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2009,325,Regional/ Remote,Baccalaureate,2012,3.5
355,PPM,Undergraduate,Computer Science,7/7/1994,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2007,312,low-income,Post-graduate,2014,3.74
356,PPM,Postgraduate,Computer Science,10/9/1980,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2012,315,Regional/ Remote,Professional Certification,2011,3.62
357,Global PPM,Postgraduate,Computer Science,18/06/1987,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2011,301,,Baccalaureate,2012,3.96
358,Global MISM,Postgraduate,Computer Science,1/10/1981,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2012,300,,Professional Certification,2010,3.29
359,Global PPM,Undergraduate,Computer Science,18/09/1990,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2011,311,,Professional Certification,2013,3.25
360,Global MISM,Postgraduate,Computer Science,13/09/1996,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,French,2009,330,,Diploma,2011,3.83
361,Global PPM,Undergraduate,Computer Science,26/10/1984,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2006,331,,Professional Certification,2010,3.34
362,MISM,Postgraduate,Computer Science,7/5/1982,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2010,327,Women in non-traditional areas,Professional Certification,2013,3.43
363,MISM,Undergraduate,Computer Science,24/03/1992,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2007,339,,Diploma,2011,3.61
364,MSIT,Undergraduate,Computer Science,26/12/1992,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2006,301,,Diploma,2011,3.78
365,MSIT,Undergraduate,Computer Science,5/4/1992,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2011,320,,Baccalaureate,2010,3.58
366,Global PPM,Undergraduate,Computer Science,11/2/1994,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2010,328,,Baccalaureate,2012,3.98
367,MSIT,Postgraduate,Computer Science,22/02/1997,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2005,314,low-income,Baccalaureate,2014,3.66
368,Global MISM,Postgraduate,Computer Science,14/08/1989,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2011,331,,Diploma,2014,3.32
369,MISM,Undergraduate,Computer Science,30/04/1980,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2009,300,,Diploma,2011,3.55
370,Global MISM,Undergraduate,Computer Science,20/07/1985,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2006,313,Women in non-traditional areas,Diploma,2010,3.92
371,PPM,Undergraduate,Computer Science,2/9/1984,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,French,2006,305,,Professional Certification,2012,3.67
372,Global MISM,Undergraduate,Computer Science,27/07/1980,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,French,2011,303,,Professional Certification,2012,3.34
373,Global MISM,Undergraduate,Computer Science,24/03/1992,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,French,2007,302,,Baccalaureate,2014,3.72
374,Global PPM,Postgraduate,Computer Science,25/10/1981,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2011,338,Regional/ Remote,Diploma,2012,3.85
375,PPM,Postgraduate,Computer Science,15/05/1980,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,French,2004,323,Women in non-traditional areas,Post-graduate,2011,3.57
376,MISM,Undergraduate,Computer Science,23/01/1988,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,French,2012,328,Regional/ Remote,Post-graduate,2010,3.98
377,PPM,Postgraduate,Computer Science,27/04/1990,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2004,336,,Professional Certification,2011,3.83
378,MSIT,Undergraduate,Computer Science,9/9/1997,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,English,2007,335,,Post-graduate,2013,3.78
379,PPM,Undergraduate,Computer Science,26/11/1990,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2010,313,,Baccalaureate,2013,3.27
380,Global MISM,Postgraduate,Computer Science,17/02/1996,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2011,312,,Professional Certification,2013,3.31
381,Global MISM,Undergraduate,Computer Science,29/09/1989,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2006,311,,Professional Certification,2012,3.68
382,Global PPM,Undergraduate,Computer Science,13/10/1995,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2005,311,,Post-graduate,2014,3.99
383,PPM,Postgraduate,Computer Science,9/1/1994,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2010,305,,Diploma,2014,3.98
384,MISM,Undergraduate,Computer Science,1/9/1989,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,English,2010,323,,Diploma,2014,3.88
385,MISM,Postgraduate,Computer Science,11/12/1989,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2004,315,,Diploma,2012,3.31
386,PPM,Postgraduate,Computer Science,15/10/1984,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,English,2010,324,,Baccalaureate,2013,3.87
387,MISM,Undergraduate,Computer Science,11/2/1986,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2007,300,,Post-graduate,2014,3.4
388,PPM,Postgraduate,Computer Science,17/09/1992,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2008,309,Regional/ Remote,Diploma,2013,3.2
389,Global MISM,Undergraduate,Computer Science,24/07/1995,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2012,324,low-income,Professional Certification,2010,3.67
390,MSIT,Postgraduate,Computer Science,25/07/1989,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2011,323,low-income,Baccalaureate,2010,3.32
391,MISM,Postgraduate,Computer Science,25/06/1993,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2010,315,,Diploma,2013,3.39
392,Global PPM,Postgraduate,Computer Science,12/3/1995,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2008,322,Regional/ Remote,Professional Certification,2012,3.63
393,PPM,Postgraduate,Computer Science,19/03/1991,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2006,315,Women in non-traditional areas,Baccalaureate,2011,3.29
394,Global PPM,Undergraduate,Computer Science,30/10/1990,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2010,319,,Post-graduate,2013,3.99
395,Global PPM,Postgraduate,Computer Science,27/02/1980,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2006,310,,Diploma,2010,3.96
396,MSIT,Postgraduate,Computer Science,25/05/1985,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2004,323,Regional/ Remote,Diploma,2014,3.91
397,MISM,Postgraduate,Computer Science,28/11/1984,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2005,310,Regional/ Remote,Diploma,2014,3.96
398,MSIT,Undergraduate,Computer Science,2/8/1996,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2004,307,,Professional Certification,2011,3.91
399,Global PPM,Postgraduate,Computer Science,23/07/1981,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2006,320,,Baccalaureate,2012,3.6
400,Global MISM,Undergraduate,Computer Science,25/11/1989,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2007,330,,Professional Certification,2012,3.61
401,MISM,Undergraduate,Computer Science,15/12/1996,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2006,339,,Professional Certification,2013,3.72
402,Global MISM,Postgraduate,Computer Science,18/02/1989,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2010,313,,Professional Certification,2012,3.88
403,MISM,Undergraduate,Computer Science,6/8/1985,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2005,336,,Diploma,2014,3.55
404,Global PPM,Undergraduate,Computer Science,20/07/1997,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2007,313,,Post-graduate,2014,3.77
405,Global MISM,Undergraduate,Computer Science,23/03/1989,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2006,305,Women in non-traditional areas,Post-graduate,2011,3.58
406,MISM,Postgraduate,Computer Science,28/09/1993,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2011,315,,Baccalaureate,2010,3.82
407,Global MISM,Postgraduate,Computer Science,19/03/1988,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2004,303,,Diploma,2013,3.84
408,MSIT,Postgraduate,Computer Science,3/9/1982,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,English,2011,331,,Baccalaureate,2010,3.42
409,PPM,Postgraduate,Computer Science,9/8/1988,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2010,300,low-income,Post-graduate,2013,3.66
410,Global MISM,Postgraduate,Computer Science,27/06/1993,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,English,2007,308,Women in non-traditional areas,Baccalaureate,2013,3.77
411,PPM,Undergraduate,Computer Science,30/05/1986,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2009,323,Disability,Professional Certification,2012,3.87
412,Global PPM,Postgraduate,Computer Science,15/08/1987,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2008,328,Disability,Diploma,2012,3.56
413,MISM,Undergraduate,Computer Science,12/12/1981,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2011,339,,Diploma,2014,3.82
414,MISM,Postgraduate,Computer Science,23/10/1989,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2011,309,Women in non-traditional areas,Post-graduate,2013,3.48
415,Global MISM,Postgraduate,Computer Science,25/01/1985,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2009,307,,Post-graduate,2014,3.71
416,PPM,Undergraduate,Computer Science,21/04/1985,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2004,307,Regional/ Remote,Diploma,2014,3.94
417,Global PPM,Undergraduate,Computer Science,10/8/1987,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2010,308,,Professional Certification,2012,3.56
418,Global PPM,Undergraduate,Computer Science,4/9/1987,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2005,306,,Professional Certification,2012,3.4
419,Global MISM,Postgraduate,Computer Science,17/05/1988,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2004,333,Women in non-traditional areas,Diploma,2011,3.23
420,Global PPM,Undergraduate,Computer Science,21/09/1994,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,English,2011,317,low-income,Diploma,2010,3.37
421,MSIT,Undergraduate,Computer Science,31/08/1995,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2008,316,,Post-graduate,2012,3.64
422,MSIT,Postgraduate,Computer Science,17/02/1994,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2010,315,,Baccalaureate,2010,3.44
423,PPM,Undergraduate,Computer Science,31/05/1992,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2007,340,,Post-graduate,2013,3.83
424,PPM,Undergraduate,Computer Science,9/8/1995,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2010,312,low-income,Baccalaureate,2012,3.57
425,MISM,Undergraduate,Computer Science,1/1/1992,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2012,300,low-income,Baccalaureate,2012,3.54
426,PPM,Postgraduate,Computer Science,19/02/1990,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2009,331,Regional/ Remote,Diploma,2012,3.65
427,MISM,Postgraduate,Computer Science,21/11/1990,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2007,321,Women in non-traditional areas,Baccalaureate,2010,3.32
428,PPM,Postgraduate,Computer Science,15/07/1997,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2012,328,,Baccalaureate,2012,3.7
429,Global MISM,Postgraduate,Computer Science,7/6/1994,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2009,338,Regional/ Remote,Professional Certification,2011,3.41
430,MISM,Postgraduate,Computer Science,23/09/1992,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,English,2005,325,,Diploma,2011,3.99
431,Global MISM,Undergraduate,Computer Science,25/05/1990,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2010,320,,Post-graduate,2013,3.51
432,MSIT,Undergraduate,Computer Science,6/5/1993,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2008,324,,Professional Certification,2012,3.85
433,MISM,Postgraduate,Computer Science,8/5/1983,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2012,310,low-income,Post-graduate,2012,3.95
434,PPM,Undergraduate,Computer Science,18/06/1991,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,English,2005,301,Disability,Post-graduate,2014,3.61
435,Global MISM,Postgraduate,Computer Science,20/12/1992,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,English,2005,312,,Baccalaureate,2014,3.52
436,Global PPM,Postgraduate,Computer Science,16/06/1997,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2004,314,,Baccalaureate,2011,3.22
437,MISM,Undergraduate,Computer Science,16/02/1986,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2006,332,,Baccalaureate,2010,3.56
438,MSIT,Postgraduate,Computer Science,31/07/1990,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2011,339,,Professional Certification,2014,3.21
439,MSIT,Undergraduate,Computer Science,24/01/1982,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2004,312,,Diploma,2011,3.43
440,Global MISM,Postgraduate,Computer Science,10/2/1997,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2006,329,,Baccalaureate,2013,3.84
441,PPM,Undergraduate,Computer Science,27/05/1991,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2011,310,,Baccalaureate,2014,3.63
442,MISM,Postgraduate,Computer Science,31/10/1985,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2011,330,,Diploma,2014,3.4
443,MISM,Postgraduate,Computer Science,11/11/1982,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2010,310,,Professional Certification,2011,3.89
444,Global PPM,Postgraduate,Computer Science,11/7/1981,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2012,333,Women in non-traditional areas,Professional Certification,2013,3.82
445,MISM,Postgraduate,Computer Science,8/6/1983,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2009,329,low-income,Post-graduate,2014,3.54
446,Global PPM,Undergraduate,Computer Science,24/01/1993,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2009,338,,Professional Certification,2011,3.61
447,MISM,Undergraduate,Computer Science,22/08/1996,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2009,311,,Diploma,2013,3.21
448,MSIT,Undergraduate,Computer Science,16/08/1984,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2008,310,,Baccalaureate,2011,3.7
449,PPM,Postgraduate,Computer Science,24/04/1980,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2004,304,Regional/ Remote,Post-graduate,2011,3.95
450,Global MISM,Postgraduate,Computer Science,24/09/1997,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2008,303,,Diploma,2011,3.67
451,Global PPM,Undergraduate,Computer Science,8/6/1987,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2008,324,Disability,Baccalaureate,2011,3.56
452,MSIT,Undergraduate,Computer Science,10/5/1980,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2008,316,,Diploma,2014,3.39
453,MSIT,Postgraduate,Computer Science,19/01/1997,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2010,303,,Baccalaureate,2010,3.96
454,PPM,Postgraduate,Computer Science,13/04/1996,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2005,326,,Diploma,2010,3.97
455,Global MISM,Undergraduate,Computer Science,10/4/1980,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,English,2005,320,,Baccalaureate,2014,3.36
456,PPM,Undergraduate,Computer Science,21/11/1992,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2007,317,Women in non-traditional areas,Baccalaureate,2012,3.73
457,MISM,Undergraduate,Computer Science,28/12/1984,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2004,320,Disability,Diploma,2010,3.41
458,Global MISM,Postgraduate,Computer Science,18/04/1986,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2006,312,,Professional Certification,2014,3.32
459,Global PPM,Undergraduate,Computer Science,18/05/1996,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,English,2012,313,,Post-graduate,2012,3.46
460,Global MISM,Postgraduate,Computer Science,15/02/1997,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2004,309,,Baccalaureate,2010,3.42
461,MISM,Undergraduate,Computer Science,30/06/1992,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,English,2006,316,,Diploma,2010,3.34
462,MSIT,Undergraduate,Computer Science,21/01/1996,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2005,325,,Baccalaureate,2014,3.51
463,MSIT,Undergraduate,Computer Science,31/01/1986,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2006,313,Regional/ Remote,Baccalaureate,2013,3.52
464,MSIT,Postgraduate,Computer Science,21/01/1994,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2010,331,low-income,Diploma,2010,3.9
465,Global MISM,Postgraduate,Computer Science,5/12/1986,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2012,310,,Diploma,2012,3.28
466,MSIT,Postgraduate,Computer Science,20/10/1984,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2011,301,,Professional Certification,2014,3.72
467,MISM,Undergraduate,Computer Science,1/4/1993,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2009,328,Regional/ Remote,Post-graduate,2011,3.76
468,MISM,Postgraduate,Computer Science,19/02/1993,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2005,307,Women in non-traditional areas,Diploma,2013,3.76
469,Global MISM,Undergraduate,Computer Science,20/01/1981,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2008,308,,Baccalaureate,2010,3.8
470,MISM,Postgraduate,Computer Science,10/2/1996,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2012,336,,Diploma,2012,3.53
471,MISM,Postgraduate,Computer Science,22/06/1989,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2010,324,Regional/ Remote,Post-graduate,2010,3.24
472,MISM,Undergraduate,Computer Science,12/3/1991,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2010,304,Regional/ Remote,Professional Certification,2012,3.6
473,Global PPM,Undergraduate,Computer Science,3/7/1997,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2011,331,Regional/ Remote,Diploma,2014,3.52
474,PPM,Postgraduate,Computer Science,4/7/1983,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2007,328,Disability,Baccalaureate,2010,3.77
475,MSIT,Postgraduate,Computer Science,27/09/1982,Female,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2008,311,,Diploma,2014,3.33
476,PPM,Undergraduate,Computer Science,29/04/1985,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2010,303,,Baccalaureate,2014,3.63
477,MSIT,Postgraduate,Computer Science,5/7/1992,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2012,326,Disability,Diploma,2013,3.27
478,MSIT,Undergraduate,Computer Science,18/09/1982,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2009,318,low-income,Baccalaureate,2010,3.23
479,PPM,Postgraduate,Computer Science,16/02/1988,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2012,314,,Baccalaureate,2011,3.31
480,MSIT,Undergraduate,Computer Science,20/07/1995,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2009,334,,Baccalaureate,2010,3.34
481,Global MISM,Postgraduate,Computer Science,17/11/1983,Male,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2004,301,Women in non-traditional areas,Baccalaureate,2012,3.84
482,MSIT,Postgraduate,Computer Science,25/09/1991,Female,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,English,2006,329,,Professional Certification,2014,3.53
483,Global PPM,Postgraduate,Computer Science,6/7/1982,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2008,327,,Diploma,2011,3.87
484,MISM,Postgraduate,Computer Science,21/02/1994,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2006,327,,Diploma,2012,3.38
485,MISM,Undergraduate,Computer Science,3/1/1990,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2011,307,low-income,Baccalaureate,2014,3.6
486,Global MISM,Undergraduate,Computer Science,9/1/1994,Male,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2004,317,,Post-graduate,2011,3.55
487,PPM,Postgraduate,Computer Science,25/02/1997,Male,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2006,323,,Post-graduate,2013,3.62
488,PPM,Undergraduate,Computer Science,10/10/1984,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2010,331,,Diploma,2011,3.85
489,MISM,Postgraduate,Computer Science,5/4/1983,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,English,2008,334,Women in non-traditional areas,Professional Certification,2014,3.49
490,MISM,Postgraduate,Computer Science,29/06/1989,Male,Canada,Canada,Canada,GRE,Full-time,Internal,Canada,English,2004,320,,Baccalaureate,2012,3.82
491,PPM,Undergraduate,Computer Science,13/08/1993,Male,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2009,311,,Baccalaureate,2012,3.35
492,Global MISM,Postgraduate,Computer Science,17/05/1995,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2008,304,low-income,Diploma,2013,3.89
493,MISM,Undergraduate,Computer Science,22/10/1980,Female,Canada,Canada,Canada,GRE,Full-time,External,Canada,English,2010,306,,Post-graduate,2011,3.82
494,Global MISM,Postgraduate,Computer Science,17/08/1985,Female,Canada,Canada,Canada,GRE,Part-time,Internal,Canada,English,2009,307,,Diploma,2010,3.85
495,Global PPM,Undergraduate,Computer Science,16/10/1997,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2006,322,,Diploma,2013,3.54
496,PPM,Undergraduate,Computer Science,1/6/1995,Female,Canada,Canada,Canada,GRE,Full-time,Multi-modal,Canada,English,2010,311,,Diploma,2011,3.42
497,MISM,Undergraduate,Computer Science,17/09/1992,Male,Canada,Canada,Canada,GRE,Part-time,Multi-modal,Canada,English,2011,328,,Baccalaureate,2010,3.21
498,Global MISM,Postgraduate,Computer Science,13/09/1984,Female,Canada,Canada,Canada,GRE,Part-time,External,Canada,English,2010,327,,Diploma,2011,3.33
499,Global MISM,Undergraduate,Computer Science,6/12/1984,Male,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2010,301,low-income,Diploma,2012,3.47
500,MISM,Undergraduate,Computer Science,13/10/1995,Male,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2005,337,,Diploma,2013,3.64
501,Global PPM,Undergraduate,Computer Science,27/01/1994,Female,Russia,Russia,Russia,GRE,Full-time,External,Russia,Russian,2010,300,,Baccalaureate,2012,3.36
502,PPM,Undergraduate,Computer Science,14/08/1986,Female,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2009,330,,Baccalaureate,2012,3.93
503,Global MISM,Undergraduate,Computer Science,12/6/1995,Male,Russia,Russia,Russia,GRE,Part-time,Internal,Russia,Russian,2005,315,,Professional Certification,2013,3.55
504,MISM,Undergraduate,Computer Science,27/09/1982,Male,Russia,Russia,Russia,GRE,Part-time,External,Russia,Russian,2006,306,Women in non-traditional areas,Post-graduate,2013,3.84
505,MISM,Undergraduate,Computer Science,24/01/1980,Male,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2005,317,Disability,Professional Certification,2014,3.71
506,PPM,Postgraduate,Computer Science,13/08/1984,Female,Russia,Russia,Russia,GRE,Full-time,Multi-modal,Russia,Russian,2004,303,,Baccalaureate,2014,3.96
